10.0 あそこに　男の　人が　いますね。　あの　人は　だれですか。,10.0,"asoko ni otoko no hito ga i masu ne. ano hito ha dare desu ka. 
Ở đằng kia có một người đàn ông, đúng không? Anh ấy là ai?"
10.1 。。。IMCの　松本さんです。,10.1,"... imc no matsumoto san desu. 
...Là anh Matsumoto, nhân viên của công ty IMC."
10.2 この　近くに　電話が　ありますか。,10.2,"kono chikaku ni denwa ga ari masu ka. 
Ở gần đây có điện thoại không?"
10.3 。。。はい、あそこに　あります。,10.3,"... hai, asoko ni ari masu. 
...Có, ở đằng kia."
10.4 庭に　だれが　いますか。,10.4,"niwa ni dare ga i masu ka. 
Ở vườn có ai thế?"
10.5 。。。だれも　いません。猫が　います。,10.5,"... dare mo i mase n. neko ga i masu. 
...Không có ai cả. Chỉ có con mèo."
10.6 箱の　中に　何が　ありますか。,10.6,"hako no naka ni nani ga ari masu ka. 
Ở trong hộp có cái gì?"
10.7 。。。古い　手紙や　写真「など」が　あります。,10.7,"... furui tegami ya shashin 'nado' ga ari masu. 
...Có những thứ như thư và ảnh cũ."
10.8 ミラーさんはどこに　いますか。,10.8,"mirā san ha doko ni i masu ka. 
Anh Miller ở đâu?"
10.9 。。。会議室に　います。,10.9,"... kaigi shitsu ni i masu. 
...Ở phòng họp."
10.10 郵便局は　どこに　ありますか。,10.10,"yuubin kyoku ha doko ni ari masu ka. 
Bưu điện ở đâu?"
10.11 。。。駅の　近くです。銀行の　前に　あります。,10.11,"... eki no chikaku desu. ginkou no mae ni ari masu. 
...Ở gần ga, trước ngân hàng."
