一,いち,một,nhất,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一つ,ひとつ,một,nhất,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一時,いちじ,thời gian,nhất thời,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一分,いちぶ,phút,nhất ,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一月,いちがつ,tháng giêng,nhất nguyệt,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一日,（いちにち）,một ngày,nhất nhật,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一日,（*ついたち）,mồng 1,nhất nhật,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一人,いちにん,một người,nhất nhân,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
一番,いちばん,một cặp,nhất phiên,"ひと_つ, イチ, イツ",Một được biểu diễn bởi một ngón tay
二,に,hai,nhị,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二つ,ふたつ,hai,nhị,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二時,にじ,hai giờ,nhị thời,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二月,にがつ,tháng hai,nhị nguyệt,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二人,ににん,hai người,nhị nhân,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二日,（*ふつか）,mồng 2,nhị nhật,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二十日,（*はつか）,ngày hai mươi,nhị thập nhật,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
二十歳,（*はたち/にじゅっさい）,hai mươi tuổi,nhị thập tuế,"ふた, ニ",Hai được biểu diễn bởi hai ngón tay
三,さん,ba,tam,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三つ,みっつ,ba,tam,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三時,さんじ,ba giờ,tam thời,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三月,さんがつ,tháng ba,tam nguyệt,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三日,みっか,mồng 3,tam nhật,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三人,さんにん,ba người,tam nhân,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三歳,さんさい,ba tuổi,tam tuế,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
三日月,みかずき,trăng non,tam nhật nguyệt,"み, みつ, サン",Ba được biểu diễn bởi ba ngón tay
四,し,bốn,tứ,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四つ,よっつ,bốn,tứ,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四時,しじ,bốn giờ,tứ thời,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四月,しがつ,tháng tư,tứ nguyệt,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四日,よっか,mồng 4,tứ nhật,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四人,よたり,bốn người,tứ nhân,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四年生,よねんせい,bốn năm,"tứ niên sanh,sinh","よ, よつ, シ",Một hình chữ nhật thì có bốn góc
四歳,よんさい,bốn tuổi,tứ tuế,"よ, よつ, シ",Một hình chữ nhật thì có bốn góc
五,い,năm,ngũ,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五つ,いつつ,mồng 5,ngũ,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五時,ごじ,năm giờ,ngũ thời,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五月,ごがつ,có thể,ngũ nguyệt,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五日,いつか,lần thứ 5,ngũ nhật,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五年,ごねん,năm năm,ngũ niên,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
五人,ごにん,năm người,ngũ nhân,"いつつ, ゴ",Có thể làm chữ kanji với năm que diêm không?
