7.0 テレビで　日本語を　勉強しましたか。,7.0,"terebi de nihongo o benkyou shi mashi ta ka. 
Anh/chị đã học tiếng nhật trên ti vi phải không?"
7.1 。。。いいえ、ラジオで　勉強しました。,7.1,"... iie, rajio de benkyou shi mashi ta. 
...Không, tôi học trên radio."
7.2 日本語で　レポートを　書きますか。,7.2,"nihongo de repōto o kaki masu ka. 
Anh/chị sẽ viết báo cáo bằng tiếng Nhật chứ?"
7.3 。。。いいえ、英語で　書きます。,7.3,"... iie, eigo de kaki masu. 
...Không, tôi viết bằng tiếng Anh."
7.4 “Goodbye”は　日本語で　何ですか。,7.4,"goodbye ha nihongo de nani desu ka. 
""Good bye"" tiếng Nhật nói thế nào?"
7.5 。。。「さようなら」です。,7.5,"... 'sayounara' desu. 
...Tiếng Nhật nói là ""Sayonara"""
7.6 だれに　クリスマスカードを　書きますか。,7.6,"dare ni kurisumasukādo o kaki masu ka. 
Anh/chị viết bưu thiếp Giáng sinh cho ai?"
7.7 。。。家族と　友達に　書きます。,7.7,"... kazoku to tomodachi ni kaki masu. 
...Tôi viết cho gia đình và bạn bè."
7.8 それは　何ですか。,7.8,"sore ha nani desu ka. 
Cái đó là cái gì?"
7.9 。。。手帳です。　山田さんに　もらいました。,7.9,"... techou desu. yamada san ni morai mashi ta. 
...Là quyển sổ tay. Tôi được anh Yamada tặng."
7.10 もう　新幹線の　切符を　買いましたか。,7.10,"mou shinkansen no kippu o kai mashi ta ka. 
Anh/chị đã mua vé tàu Shinkansen chưa?"
7.11 。。。はい、もう　買いました。,7.11,"... hai, mou kai mashi ta. 
...Rồi, tôi đã mua rồi."
7.12 もう　昼ごはんを　食べましたか。,7.12,"mou hiru gohan o tabe mashi ta ka. 
Anh/chị đã ăn cơm trưa chưa?"
7.13 。。。いいえ、まだです。これから　食べます。,7.13,"... iie, mada desu. korekara tabe masu. 
...Chưa, tôi chưa ăn. Bây giờ tôi sẽ ăn."
