栄養,えいよう,VINH DƯỠNG,Dinh dưỡng,VINH DƯỠNG,n
替える,かえる,"",Thay,"",v
祭り,まつり,"",Buổi lễ,"", n
立派,りっぱ,LẬP PHÁI,Tuyệt vời,LẬP PHÁI, a-na
理由,りゆう,LÝ DO,"Lý do, nguyên nhân",LÝ DO,n
手術,しゅじゅつ,THỦ THUẬT,Phẩu thuật,THỦ THUẬT,v/n
中央,ちゅうおう,TRUNG ƯƠNG,Trung ương,TRUNG ƯƠNG,n
履歴書,りれきしょ,LÝ LỊCH THƯ,Bản lý lịch,LÝ LỊCH THƯ, n
勤める,つとめる,"","Được thuê, đi làm","",v
中央,ちゅうおう,TRUNG ƯƠNG,Trung ương,TRUNG ƯƠNG,n
鉄,てつ,THIẾT,sắt; thép,THIẾT,n
攻撃,こうげき,CÔNG KÍCH,"Công kích, tấn công",CÔNG KÍCH,v/n
健在,けんざい,KIỆN TẠI,sức khoẻ tốt/khoẻ mạnh,KIỆN TẠI, 
緊張,きんちょう,KHẨN TRƯƠNG,"Hồi hộp, căng thẳng",KHẨN TRƯƠNG, n
事情,じじょう,SỰ TÌNH,"Tình hình, tình trạng",SỰ TÌNH,n
事情,じじょう,SỰ TÌNH,"tình hình,sự tình",SỰ TÌNH, 
履歴書,りれきしょ,LÝ LỊCH THƯ,Sơ yếu lý lịch,LÝ LỊCH THƯ,n
関連,かんれん,LIÊN,sự liên quan/sự liên hệ/sự quan hệ/liên quan/liên hệ/quan hệ,LIÊN,n
椅子,いす,"Y, Ỷ TỬ, TÍ","ghế,cái ghế","Y, Ỷ TỬ, TÍ",n
観客,かんきゃく,QUAN KHÁCH,quan khách; người xem,QUAN KHÁCH,n
タイヤ,タイヤ,"","tire mark, tyre mark","",n
連絡先,れんらくさき,"",tiếp xúc với địa chỉ,"",n
下りる,おりる,"",hạ (xuống); đi (xuống),"",v1
否定形,ひていかたち,"",negative form,"",n
繋ぐ,つなぐ,"",buộc vào; thắt .,"","v5g, vt"
サボる,サボる,"",trốn (việc); bùng (học),"","v5r, vi"
事務員,じむいん,"",nhân viên làm việc; nhân viên (văn phòng) .,"",n
頭に浮かぶ,あたまにうかぶ,"","to come to mind, to pop into one's head","","exp, vi, v5b"
偶に,ぐうに,"",thi thoảng; đôi khi; thỉnh thoảng; có lúc .,"","adv, suf"
些とも,ちっとも,"",không ...một chút gì,"",adv
観客,かんきゃく,QUAN KHÁCH,quan khách/người xem/khách tham quan/khán giả,QUAN KHÁCH,n
事情,じじょう,SỰ TÌNH,tình hình/sự tình,SỰ TÌNH,n
打つ,うつ,"",Đánh,"",v
近頃,ちかごろ,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",gần đây,"CẬN, CẤN, KÍ KHOẢNH, KHUYNH, KHUỂ",n
関連,かんれん,QUAN LIÊN,Liên quan,QUAN LIÊN, v/n
不足,ふそく,"BẤT, PHẦU, PHỦ, PHI TÚC",khiếm khuyết,"BẤT, PHẦU, PHỦ, PHI TÚC",n
現在,げんざい,HIỆN TẠI,Hiện tại,HIỆN TẠI, n
理由,りゆうわけ,LÝ DO,Lý do,LÝ DO, n
現在,げんざい,HIỆN TẠI,hiện tại/hiện giờ/hiện nay/lúc này,HIỆN TẠI,n
健在,けんざい,KIỆN TẠI,tình trạng sức khoẻ tốt,KIỆN TẠI,n
成績,せいせき,THÀNH TÍCH,"thành tích ,
thánh tích",THÀNH TÍCH,n
不足,ふそく,BẤT TÚC,"sự không đủ,sự không đầy đủ,sự thiếu thốn",BẤT TÚC, 
状態,じょうたい,TRẠNG THÁI,Trạng thái,TRẠNG THÁI,n
緊張,きんちょう,KHẨN TRƯƠNG,Sự căng thẳng,KHẨN TRƯƠNG,n
攻撃,こうげき,CÔNG KÍCH,sự công kích/sự tấn công/sự chỉ trích,CÔNG KÍCH,n
栄養,えいよう,DINH DƯỠNG,Dinh dưỡng,DINH DƯỠNG, n
状態,じょうたい,TRẠNG THÁI,Trạng thái,TRẠNG THÁI, n
怠ける,なまける,"","Lười biếng, sơ hở","",n
立派,りっぱ,LẬP PHÁI,Tuyệt vời,LẬP PHÁI, a-na
手術,しゅじゅつ,THỦA THUẬT,Phẫu thuật,THỦA THUẬT,v/n
冷める,さめる,"",Trở nên lạnh,"",v
許す,ゆるす,hứa,"Bằng lòng, cho phép, tha thứ",hứa,v
成績,せいせき,THÀNH TÍCH,"thành tích 
thánh tích",THÀNH TÍCH,n
