37.0 けさ　部長に　呼ばれました。,37.0,"kesa buchou ni yobare mashi ta. 
Sáng nay tôi bị trưởng phòng gọi lên."
37.1 。。。何か　あったんですか。,37.1,"... nani ka atta n desu ka. 
...Có chuyện gì không?"
37.2 出張の　レポートの　書き方に　ついて　注意されました。,37.2,"shucchou no repōto no kakikata ni tsui te chuui sare mashi ta. 
Tôi bị nhắc nhở vì về cách viết bản báo cáo đi công tác."
37.3 どう　したんですか。,37.3,"dou shi ta n desu ka. 
Có chuyện gì thế?"
37.4 。。。だれかに　傘を　まちがえられたんです。,37.4,"... dare ka ni kasa o machigaerare ta n desu. 
...Tôi bị ai đó cầm nhầm ô."
37.5 また　新しい　星が　発見されましたよ。,37.5,"mata atarashii hoshi ga hakken sare mashi ta yo. 
Lại có một ngôi sao mới được tìm thấy đấy."
37.6 。。。そうですか。,37.6,"... sou desu ka. 
...Thế à?"
37.7 ことしの　世界こども会議は　どこで　開かれますか。,37.7,"kotoshi no sekai kodomo kaigi ha doko de hirakare masu ka. 
Hội nghị trẻ em thế giới năm nay sẽ được tổ chức ở đâu?"
37.8 。。。広島で　開かれます。,37.8,"... hiroshima de hirakare masu. 
...Hội nghị được tổ chúc ở Hiroshima."
37.9 お酒の　原料は　何ですか。,37.9,"o sake no genryou ha nani desu ka. 
Nguyên liệu để làm rượu là gì?"
37.10 。。。米です。,37.10,"... bei desu. 
...Là gạo."
37.11 ビールは？,37.11,"bīru ha? 
Thế còn bia thì sao?"
37.12 。。。ビールは　麦から　造られます。,37.12,"... bīru ha mugi kara tsukurare masu. 
...Bia được làm từ lúa mạch."
37.13 ドミニカでは　何語が　使われて　いますか。,37.13,"dominika de ha nani go ga tsukaware te i masu ka. 
Ngôn ngữ nào được dùng ở Dominica?"
37.14 。。。スペイン語が　使われて　います。,37.14,"... supein go ga tsukaware te i masu. 
...Tiếng Tây Ban Nha được dùng."
37.15 先生、飛行機は　だれが　発明したんですか。,37.15,"sensei, hikouki ha dare ga hatsumei shi ta n desu ka. 
Thưa thầy, máy bay do ai phát minh ra ạ?"
37.16 。。。飛行機は　ライト兄弟に　よって　発明されました。,37.16,"... hikouki ha raito kyoudai ni yotte hatsumei sare mashi ta. 
...Máy bay do hai anh em nhà Wright phát minh ra."
