42.0 この　夏　盆踊りに　参加する　ために、毎日　練習して　います。,42.0,"kono natsu bonodori ni sanka suru tame ni, mainichi renshuu shi te i masu. 
Hằng ngày tôi luyện tập để tham gia lễ hội múa Bon mùa hè này."
42.1 。。。そうですか。　楽しみですね。,42.1,"... sou desu ka. tanoshimi desu ne. 
...Thế à, vui nhỉ."
42.2 どうして　一人で　山に　登るんですか。,42.2,"doushite ichi nin de yama ni noboru n desu ka. 
Tại sao anh lại leo núi một mình."
42.3 。。。一人に　なって　考える　ために、山に　行くんです。,42.3,"... ichi nin ni natte kangaeru tame ni, yama ni iku n desu. 
...Tôi muốn lên núi để được ở một mình và suy nghĩ."
42.4 健康の　ために、何か　して　いますか。,42.4,"kenkou no tame ni, nani ka shi te i masu ka. 
Hiện giờ, anh/chị có làm gì vì sức khỏe không?"
42.5 。。。いいえ、　でも、来週から　毎朝　走ろうと　思って　います。,42.5,"... iie, demo, raishuu kara maiasa hashiro u to omotte i masu. 
...Không. Nhưng tôi đang định tuần sau sẽ chạy vào buổi sáng."
42.6 きれいな　曲ですね。,42.6,"kirei na kyoku desu ne. 
Bản nhạc hay nhỉ."
42.7 。。。「エリーゼの　ために」ですよ。　ベートーベンが　ある　女の　人の　ために、作った　曲です。,42.7,"... 'erīze no tame ni' desu yo. bētōben ga aru onna no hito no tame ni, tsukutta kyoku desu. 
...Đó là bản Fur Elize đấy. Bit-thô-ven đã viết bản nhạc này để tặng một cô gái."
42.8 これは　何に　使うんですか。,42.8,"kore ha nani ni tsukau n desu ka. 
Cái này dùng để làm gì?"
42.9 。。。ワインを　開けるのに　使います。,42.9,"... wain o akeru noni tsukai masu. 
...Dùng để mở rượu vang."
42.10 日本では　結婚式を　するのに　どのくらい　お金が　必要ですか。,42.10,"nippon de ha kekkonshiki o suru noni dono kurai okane ga hitsuyou desu ka. 
Để làm đám cưới ở Nhật thì cần bao nhiêu tiền?"
42.11 。。。200万円は　要ると　思います。,42.11,"... 200 man en ha iru to omoi masu. 
...Tôi nghĩ cần không dưới 2 triệu yên."
42.12 えっ、200万円も　要るんですか。,42.12,"e,, 200 man en mo iru n desu ka. 
Ôi, 2 triệu yên ấy à."
42.13 その　バッグは　入れる　所が　たくさん　ありますね。,42.13,"sono baggu ha ireru tokoro ga takusan ari masu ne. 
Cái túi đó có nhiều chổ chứa nhỉ?"
42.14 。。。ええ。財布や　書類や　ハンカチが　別々に　しまえるので、旅行や　仕事に　便利なんです。,42.14,"... ee. saifu ya shorui ya hankachi ga betsubetsu ni shimaeru node, ryokou ya shigoto ni benri na n desu. 
Vâng, có thể đựng ví, tài liệu, khăn mùi xoa v.v.. nên tiện cho công việc hoặc du lịch."
