17.0 そこに　車を　止めないで　ください。,17.0,"soko ni kuruma o tome nai de kudasai. 
Xin đừng đỗ xe ở đó."
17.1 。。。すみません。,17.1,"... sumimasen. 
...Xin lỗi."
17.2 先生、お酒を　飲んでも　いいですか。,17.2,"sensei, o sake o non de mo ii desu ka. 
Thưa bác sĩ, tôi uống rượu được không ạ?"
17.3 。。。いいえ、2、3日　飲まないで　ください。,17.3,"... iie, 2, 3 nichi noma nai de kudasai. 
...Không, anh/chị đừng uống rượu trong 2, 3 ngày."
17.4 はい、わかりました。,17.4,"hai, wakari mashi ta. 
Vâng, tôi rõ rồi ạ."
17.5 今晩　飲みに　行きませんか。,17.5,"konban nomi ni iki mase n ka. 
Tối nay chúng ta đi uống được không?"
17.6 。。。すみません。きょうは　妻と　約束が　あります。,17.6,"... sumimasen. kyou ha tsuma to yakusoku ga ari masu. 
...Xin lỗi, hôm nay tôi có hẹn với vợ."
17.7 ですから、早く　帰らなければ　なりません。,17.7,"desukara, hayaku kaera nakere ba nari mase n. 
vì thế mà tôi phải về nhà sớm."
17.8 レポートは　いつまでに　出さなければ　なりませんか。,17.8,"repōto ha itsu made ni dasa nakere ba nari mase n ka. 
Bài báo cáo phải nộp trước khi nào?"
17.9 。。。金曜日までに　出して　ください。,17.9,"... kinyoubi made ni dashi te kudasai. 
...Anh/chị hãy nộp trước thứ sáu."
17.10 子どもも　お金を　払わなければ　なりませんか。,17.10,"kodomo mo okane o harawa nakere ba nari mase n ka. 
Trẻ con cũng phải trả tiền à?"
17.11 。。。いいえ、払わなくても　いいです。,17.11,"... iie, harawa naku te mo ii desu. 
...Không, không phải trả."
