近い,ちかい,gần,CẬN,15
近く,ちかく,gần,CẬN,15
近所,きんじょ,vùng lân cận,CẬN SỞ,15
最近,さいきん,mới đây,TỐI CẬN,15
近頃,ちかごろ,mới đây,CẬN ,15
近代的な,きんだいてきな,tánh tích mới,CẬN ĐẠI ,15
禁止,きんし,cấm chỉ,CẤM CHỈ,15
中近東,ちゅうきんとう,trung và cận đông,TRUNG CẬN ĐÔNG,15
暑い,あつい,nóng,THỬ,15
蒸し暑い,むしあつい,ẩm ướt,CHƯNG THỬ,15
暑中見舞い,しょちゅうみまい,thư hỏi thăm mùa hè,THỬ TRUNG KIẾN VŨ,15
残暑,ざんしょ,cuối hè ,TÀN THỬ,15
避暑地,ひしょち,thăm hỏi cuối hè,TỊ THỬ ĐỊA,15
寒い,さぶい,lạnh,HÀN,15
寒気,かんき,ớn lạnh,HÀN KHÍ,15
寒気,かんき,ớn lạnh,HÀN KHÍ,15
寒帯,かんたい,vùng băng giá,HÀN ĐỚI,15
寒風,かんぷう,gió lạnh,HÀN PHONG,15
低い,ひくい,thấp,ĐÊ,15
最低,さいてい,thấp nhất,TỐI ĐÊ,15
低下,ていか,hạ thấp,ĐÊ HẠ,15
低音,ていおん,giọng trầm,ĐÊ ÂM,15
低気圧,ていきあつ,áp lực thấp,ĐÊ KHÍ ÁP,15
肯定,こうてい,tích cực,KHẲNG ĐỊNH,15
弱い,よわい,yếu,NHƯỢC,15
弱点,じゃくてん,yếu đuối,NHƯỢC ĐIỂM,15
弱る,よわる,suy yếu,NHƯỢC,15
病弱,びょうじゃく,sức khỏe kém,BỆNH NHƯỢC,15
弱肉強食,じゃくにくきょうしょく,luật rừng,NHƯỢC NHỤC CƯỜNG THỰC,15
弱気,よわき,gấu,NHƯỢC KHÍ,15
暗い,くらい,tối,ÁM,15
真っ暗,まっくら,màu đen,CHÂN ÁM,15
暗記する,あんきする,học thuộc lòng,ÁM KÍ,15
暗殺,あんさつ,sự ám sát,ÁM SÁT,15
暗証番号,あんしょうばんごう,số nhận dạng cá nhân,ÁM CHỨNG PHIÊN HÀO,15
豆,まめ,đậu,ĐẬU,15
豆腐,とうふ,tàu hũ,ĐẬU HỦ,15
コーヒー豆,コーヒーまめ,cà phê hạt,ĐẬU,15
枝豆,えだまめ,đậu nành xanh,CHI ĐẬU,15
大豆,だいず,đậu tương,ĐẠI ĐẬU,15
豆乳,とうにゅう,sữa đậu nành,ĐẬU NHŨ,15
納豆,なっとう,natto,NẠP ĐẬU,15
光,ひかり,ánh sáng,QUANG,15
光る,ひかる,sáng,QUANG,15
観光,かんこう,du lịch,QUAN QUANG,15
日光,にっこう,ánh sáng mặt trời,NHẬT QUANG,15
光線,こうせん,tia,QUANG TUYẾN,15
光景,こうけい,cảnh tượng,QUANG CẢNH,15
光熱費,こうねつひ,chi phí tiện ích,QUANG NHIỆT PHÍ,15
遠い,とおい,xa,VIỄN,15
遠く,とおく,xa,VIỄN,15
遠慮する,えんりょする,do dự,VIỄN LỰ,15
遠足,えんそく,du ngoạn,VIỄN TÚC,15
望遠鏡,ぼうえんきょう,kính thiên văn,VỌNG VIỄN KÍNH,15
永遠の,えいえんの,đời đời,VĨNH VIỄN,15
遠方,えんぽう,xa,VIỄN PHƯƠNG,15
学者,がくしゃ,học giả,HỌC GIẢ,15
作者,さくしゃ,tác giả,TÁC GIẢ,15
医者,いしゃ,bác sĩ,Y GIẢ,15
研究者,けんきゅうしゃ,nhà nghiên cứu,NGHIÊN CỨU GIẢ,15
歯医者,はいしゃ,nha sĩ,XỈ Y GIẢ,15
記者,きしゃ,phóng viên,KÍ GIẢ,15
読者,どくしゃ,đọc,ĐỌC GIẢ,15
若者,わかもの,giới trẻ,NHƯỢC GIẢ,15
重い,おもい,nặng,TRỌNG,15
重ねる,かさねる,nhắc lại,TRỌNG,15
体重,たいじゅう,trọng lượng,THỂ TRỌNG,15
重役,おもやく,chấp hành,TRỌNG DỊCH,15
重要な,じゅうような,quan trọng,TRỌNG YẾU,15
貴重品,きちょうひん,vật có giá trị,QUÝ TRỌNG PHẨM,15
二重まぶた,ふたえまぶた,mắt một mí lần,NHỊ TRỌNG,15
軽い,かるい,ánh sáng,KHINH,15
手軽な,てがるな,dể chịu,THỦ KHINH,15
気軽に,きがるに,đừng ngại,KHÍ KHINH,15
軽自動車,けいじどうしゃ,ánh sáng xe,KHINH TỰ ĐỘNG XA,15
軽やかに,かろやかに,nhẹ nhàng,KHINH,15
軽率な,けいそつな,không suy nghĩ,KHINH SUẤT,15
軽蔑,けいべつ,sự khinh thường,KHINH ,15
悪い,にくい,xấu,ÁC,15
悪口,あっこう,lạm dụng,ÁC KHẨU,15
意地悪な,いじわるな,nghĩa là,Ý ĐỊA ÁC,15
最悪,さいあく,tệ nhất,TỐI ÁC,15
悪者,わるもの,những kẻ xấu,ÁC GIẢ,15
悪魔,あくま,ma,ÁC MA,15
悪,あく,xấu,ÁC,15
悪寒,おかん,lạnh buốt,ÁC HÀN,15
太い,ふとい,dầy,THÁI,15
太る,ふとる,tăng cân,THÁI,15
太陽,たいよう,mặt trời,THÁI DƯƠNG,15
太鼓,たいこ,cái trống,THÁI CỔ,15
皇太子,こうたいし,hoàng thái tử,HOÀNG THÁI TỬ,15
太平洋,たいへいよう,thái bình dương,THÁI BÌNH DƯƠNG,15
丸太,まるた,đăng nhập,HOÀN THÁI,15
短い,みじかい,ngắn,ĐOẢN,15
短所,たんしょ,thiếu sót,ĐOẢN SỞ,15
短期,たんき,ngắn,ĐOẢN KÌ,15
短期大学,たんきだいがく,junior đại học,ĐOẢN KÌ ĐẠI HỌC,15
短編,たんぺん,truyện ngắn,ĐOẢN BIÊN,15
短気な,たんきな,tánh nóng nảy,ĐOẢN KHÍ,15
短歌,たんか,tanka,ĐOẢN CA,15
風,かぜ,gió,PHONG,15
台風,たいふう,bão,THAI PHONG,15
お風呂,おふろ,các phòng tắm,PHONG LỮ,15
風船,ふうせん,khí cầu,PHONG THUYỀN,15
風景,ふうけい,cảnh,PHONG CẢNH,15
洋風,ようふう,phong cách phương tây,DƯƠNG PHONG,15
和風,わふう,phong cách nhật bản,HÒA PHONG,15
