羽,う,lông chim,VŨ,14
羽根,はね,cánh,VŨ CĂN,14
一羽,いちわ,một con chim,NHẤT VŨ,14
千羽,せんわ,senba,THIÊN VŨ,14
羽毛,うもう,lông chim,VŨ MAO,14
漢字,かんじ,nhân vật trung quốc,HÁN TỰ,14
漢和辞典,かんわじてん,kanji,HÁN HÒA TỪ ĐIỂN,14
漢方薬,かんぽうやく,thuốc thảo dược trung quốc,HÁN PHƯƠNG DƯỢC,14
漢文,かんぶん,điển trung quốc,HÁN VĂN,14
字,あざ,nhân vật,TỰ,14
漢字,かんじ,nhân vật trung quốc,HÁN TỰ,14
文字,もじ,nhân vật,VĂN TỰ,14
名字,みょうじ,họ,DANH TỰ,14
数字,すうじ,số,"SỔ,SỐ TỰ",14
習字,しゅうじ,viết văn,TẬP TỰ,14
活字,かつじ,kiểu,HOẠT TỰ,14
ローマ字,ローマじ,bảng chữ cái la mã,TỰ,14
入学式,にゅうがくしき,lễ nhập học,NHẬP HỌC THỨC,14
結婚式,けっこんしき,kết hôn,KẾT HÔN THỨC,14
式,しき,công thức,THỨC,14
正式な,せいしきな,chính thức,CHÁNH THỨC,14
洋式,ようしき,phong cách phương tây,DƯƠNG THỨC,14
和式,わしき,kiểu nhật,HÒA THỨC,14
試験,しけん,thử,THÍ NGHIỆM,14
経験,けいけん,kinh nghiệm,KINH NGHIỆM,14
実験,じっけん,thí nghiệm,THỰC NGHIỆM,14
受験,じゅけん,kỳ thi tuyển sinh,THỤ NGHIỆM,14
体験,たいけん,kinh nghiệm,THỂ NGHIỆM,14
宿題,しゅくだい,việc nhà,TÚC ĐỀ,14
問題,もんだい,vấn đề,VẤN ĐỀ,14
題,だい,tiêu đề,ĐỀ,14
題名,だいめい,tiêu đề,ĐỀ DANH,14
話題,わだい,chủ đề,THOẠI ĐỀ,14
議題,ぎだい,chương trình nghị sự,NGHỊ ĐỀ,14
課題,かだい,thách,KHÓA ĐỀ,14
主題,しゅだい,vấn đề,CHỦ ĐỀ,14
英語,えいご,anh,ANH NGỮ,14
英雄,えいゆう,anh hùng,ANH HÙNG,14
