39.0 。。。ええ。彼女に　初めて　会ったのは　小学校の　教室です。,39.0,"... ee. kanojo ni hajimete atta no ha shougakkou no kyoushitsu desu. 
...Có. Tôi gặp cô ấy lần đầu tiên là ở lớp học của trường tiểu học."
39.1 彼女は　音楽の　先生でした。,39.1,"kanojo ha ongaku no sensei deshi ta. 
Cô ấy lúc đó là giáo viên âm nhạc."
39.2 お見合いはどうでしたか。,39.2,"o miai ha dou deshi ta ka. 
Cuộc gặp gỡ với người được làm mối của anh/chị thế nào?"
39.3 。。。写真を見たときは、すてきな人だとおもいましたが、あった、がっかりました。,39.3,"... shashin o mi ta toki ha, suteki na hito da to omoi mashi ta ga, atta, gakkari mashi ta. 
...Khi xem ảnh thì tôi thấy là người hấp dẫn, nhưng khi gặp thì bị thất vọng."
39.4 今度の土曜日にみんなでハイキングに行くんですが、一緒に行きませんか。,39.4,"kondo no doyoubi ni minna de haikingu ni iku n desu ga, issho ni iki mase n ka. 
Thứ bảy này mọi người đi leo núi, anh/chị có đi không?"
39.5 。。。すみません。土曜日ちょっとつごうがわるくて、いけないんです。,39.5,"... sumimasen. doyoubi chotto tsugo u ga waruku te, ike nai n desu. 
...Xin lỗi, thứ bảy tôi có việc nên không thể đi được."
39.6 あの映画はどうでしたか。,39.6,"ano eiga ha dou deshi ta ka. 
Bộ phim ấy thế nào?"
39.7 。。。はなしが複雑で、よく　わかりませんでした。,39.7,"... hanashi ga fukuzatsu de, yoku wakari mase n deshi ta. 
...Nội dung phức tạp nên tôi không hiểu lắm."
39.8 遅くなって、すみません。,39.8,"osoku natte, sumimasen. 
Xin lỗi tôi đến muộn."
39.9 。。。どうしたんですか。,39.9,"... dou shi ta n desu ka. 
...Có chuyện gì thế?"
39.10 事故でパスがおくれたんです。,39.10,"jiko de pasu ga okure ta n desu. 
Vì tai nạn nên xe buýt bị chậm."
39.11 これから、のみにいきませんか。,39.11,"korekara, nomi ni iki mase n ka. 
Bây giờ anh/chị có đi uống với tôi không?"
39.12 。。。すみません。用事があるので，お先に失礼します。,39.12,"... sumimasen. youji ga aru node, osakini shitsurei shi masu. 
...Xin lỗi vì có việc nên tôi xin phép về trước."
39.13 そうですか。お疲れ様でした。,39.13,"sou desu ka. otsukaresama deshi ta. 
Thế à, chào anh."
39.14 最近布団で寝ているんですが、便利ですね。,39.14,"saikin futon de ne te iru n desu ga, benri desu ne. 
Gần đây tôi ngủ bằng futon. Tiện lắm."
39.15 。。。ベッドはどうしたんですか。,39.15,"... beddo ha dou shi ta n desu ka. 
...Giường của anh sao rồi."
39.16 部屋が狭くて、邪魔なので、友達にあげました。,39.16,"heya ga semaku te, jama na node, tomodachi ni age mashi ta. 
Vì phòng chật, giường chiếm diện tích nên tôi đã cho bạn."
