Một được biểu diễn bởi một ngón tay,"一(nhất) - hito_tsu, ichi, itsu",一,"ひと_つ, イチ, イツ",một,nhất,1
Hai được biểu diễn bởi hai ngón tay,"二(nhị) - futa, ni",二,"ふた, ニ",hai,nhị,1
Ba được biểu diễn bởi ba ngón tay,"三(tam) - mi, mitsu, san",三,"み, みつ, サン",ba,tam,1
Một hình chữ nhật thì có bốn góc,"四(tứ) - yo, yotsu, shi",四,"よ, よつ, シ",bốn,tứ,1
Có thể làm chữ kanji với năm que diêm không?,"五(ngũ) - itsutsu, go",五,"いつつ, ゴ",năm,ngũ,1
Đây là cách người trung quốc thể hiện sáu với những ngón tay của họ,"六(lục) - mu, mutsu, mui, roku",六,"む, むつ, むい, ロク",sáu,lục,1
Hai cộng với năm bằng bảy,"七(thất) - nana, nano, shichi",七,"なな, なの, シチ",bảy,thất,1
Nó giống như chữ kantakana　ハ giống như là 八チ(tám).,"八(bát) - ya, yatsu, hachi",八,"や, やつ, ハチ",tám,bát,1
"Bạn có thể đếm đến mười? Bảy, tám, chín  .. Không.","九(cửu) - kokono_tsu, kyuu, ku",九,"ここの_つ, キュウ, ク",chín,cửu,1
Kết hợp 2 ngón tay để tạo thành mười,"十(thập) - to_u, juu, jih!",十,"と_う, ジュウ, ジッ",mười,thập,1
"Quay số "" 100 "" 90 độ về bên phải và nó có vẻ như 百","百(bách) - , hyaku",百,", ヒャク",trăm,bách,1
"Thêm ノ đến 10 (十) để tạo ra  ngàn , một số lượng lớn hơn.","千(thiên) - chi, sen",千,"ち, セン",nghìn,thiên,1
10.000 (vạn) là một con số có 5 chữ số,"万(vạn) - , man, ban",万,", マン, バン",vạn,vạn,1
Đây là thể hiển của 1 vòng tròn,"円(viên) - maru_i, en",円,"まる_い, エン","yên,vòng tròn",viên,1
Đây là thể hiện của một cái mồm,"口(khẩu) - kuchi, koo, ku",口,"くち, コオ, ク",miệng,khẩu,1
Đây là thể hiện của một cái mắt,"目(mục) - me, moku, boku",目,"め, モク, ボク",mắt,mục,1
"Trong một ngày  lạnh , tôi đến nhà bạn và để lại dấu chân trên tuyết.","寒(hàn) - samu_i, kan",寒,"さむ_い, カン",lạnh,hàn,15
Đây là thể hiện của mặt trời,"日(nhật) - hi, ka, nichi, jitsu",日,"ひ, か, ニチ, ジツ","ngày,mặt trời",nhật,2
Đây là thể hiện của  mặt trăng,"月(nguyệt) - tsuki, getsu, gatsu",月,"つき, ゲツ, ガツ","tháng,mặt trăng",nguyệt,2
Đây là thể hiện của một ngọn lửa,"火(hỏa) - hi, ho, ka",火,"ひ, ほ, カ",lửa,hỏa,2
Nước bắn rơi xung quanh,"水(thủy) - mizu, sui",水,"みず, スイ",nước,thủy,2
Đây là thể hiện của một cái cây,"木(mộc) - ki, ko, boku, moku",木,"き, こ, ボク, モク",cây,mộc,2
Mọi người nói rằng có vàng ở dưới núi,"金(kim) - kane, kana, kin, kon",金,"かね, かな, キン, コン",vàng,kim,2
Một mầm nụ trồi ra từ đất,"土(thổ) - tsuchi, do, to",土,"つち, ド, ト",đất,thổ,2
"Bắt đầu của một ngày,những con chim hót ""piyo-piyo""","曜(diệu) - , yoo",曜,", ヨオ",ngày mới,diệu,2
