疲れたね。　ちょっと　休まない？,tsukare ta ne. chotto yasuma nai? ,"Mệt quá nhỉ, chúng ta nghỉ một chút nhé.","疲れたね。　ちょっと　休まない？
tsukare ta ne. chotto yasuma nai? ","疲れたね。　ちょっと　休まない？
Mệt quá nhỉ, chúng ta nghỉ một chút nhé.","tsukare ta ne. chotto yasuma nai? 
Mệt quá nhỉ, chúng ta nghỉ một chút nhé.",31
。。。うん、そう　しよう。,"... un, sou shiyo u. ","...Ừ, nghỉ thôi.","。。。うん、そう　しよう。
... un, sou shiyo u. ","。。。うん、そう　しよう。
...Ừ, nghỉ thôi.","... un, sou shiyo u. 
...Ừ, nghỉ thôi.",31
お正月は　何を　しますか。,oshougatsu ha nani o shi masu ka. ,Tết anh/chị làm gì?,"お正月は　何を　しますか。
oshougatsu ha nani o shi masu ka. ","お正月は　何を　しますか。
Tết anh/chị làm gì?","oshougatsu ha nani o shi masu ka. 
Tết anh/chị làm gì?",31
。。。家族と　温泉に　行こうと　思って　います。,... kazoku to onsen ni iko u to omotte i masu. ,...Tôi định đi tắm suối nước nóng với gia đình.,"。。。家族と　温泉に　行こうと　思って　います。
... kazoku to onsen ni iko u to omotte i masu. ","。。。家族と　温泉に　行こうと　思って　います。
...Tôi định đi tắm suối nước nóng với gia đình.","... kazoku to onsen ni iko u to omotte i masu. 
...Tôi định đi tắm suối nước nóng với gia đình.",31
それは　いいですね。,sore ha ii desu ne. ,Hay quá nhỉ.,"それは　いいですね。
sore ha ii desu ne. ","それは　いいですね。
Hay quá nhỉ.","sore ha ii desu ne. 
Hay quá nhỉ.",31
レポートは　もう　できましたか。,repōto ha mou deki mashi ta ka. ,Anh/Chị đã biết xong bài báo cáo chưa?,"レポートは　もう　できましたか。
repōto ha mou deki mashi ta ka. ","レポートは　もう　できましたか。
Anh/Chị đã biết xong bài báo cáo chưa?","repōto ha mou deki mashi ta ka. 
Anh/Chị đã biết xong bài báo cáo chưa?",31
。。。いいえ、まだ　書いて　いません。,"... iie, mada kai te i mase n. ","...Chưa, tôi chưa biết xong.","。。。いいえ、まだ　書いて　いません。
... iie, mada kai te i mase n. ","。。。いいえ、まだ　書いて　いません。
...Chưa, tôi chưa biết xong.","... iie, mada kai te i mase n. 
...Chưa, tôi chưa biết xong.",31
金曜日までに　まとめようと　思って　います。,kinyoubi made ni matomeyo u to omotte i masu. ,Tôi định hoàn thành trước thứ sáu.,"金曜日までに　まとめようと　思って　います。
kinyoubi made ni matomeyo u to omotte i masu. ","金曜日までに　まとめようと　思って　います。
Tôi định hoàn thành trước thứ sáu.","kinyoubi made ni matomeyo u to omotte i masu. 
Tôi định hoàn thành trước thứ sáu.",31
ハンス君は　国へ　帰っても、柔道を　続けますか。,"hansu kun ha kuni he kaette mo, juudou o tsuduke masu ka. ","Cậu Hans, ngay cả khi về nước rồi, cậu có tiếp tục tập Judo không?","ハンス君は　国へ　帰っても、柔道を　続けますか。
hansu kun ha kuni he kaette mo, juudou o tsuduke masu ka. ","ハンス君は　国へ　帰っても、柔道を　続けますか。
Cậu Hans, ngay cả khi về nước rồi, cậu có tiếp tục tập Judo không?","hansu kun ha kuni he kaette mo, juudou o tsuduke masu ka. 
Cậu Hans, ngay cả khi về nước rồi, cậu có tiếp tục tập Judo không?",31
。。。はい、続ける　つもりです。,"... hai, tsudukeru tsumori desu. ","...Có, tôi dự định sẽ tiếp tục.","。。。はい、続ける　つもりです。
... hai, tsudukeru tsumori desu. ","。。。はい、続ける　つもりです。
...Có, tôi dự định sẽ tiếp tục.","... hai, tsudukeru tsumori desu. 
...Có, tôi dự định sẽ tiếp tục.",31
夏休みは　国へ　帰らないんですか。,natsuyasumi ha kuni he kaera nai n desu ka. ,Nghỉ hè anh/chị không về nước à?,"夏休みは　国へ　帰らないんですか。
natsuyasumi ha kuni he kaera nai n desu ka. ","夏休みは　国へ　帰らないんですか。
Nghỉ hè anh/chị không về nước à?","natsuyasumi ha kuni he kaera nai n desu ka. 
Nghỉ hè anh/chị không về nước à?",31
。。。ええ。大学院の　試験を　受けますから、ことしは　帰らない　つもりです。,"... ee. daigakuin no shiken o uke masu kara, kotoshi ha kaera nai tsumori desu. ",...Vâng. Tôi phải thi lên cao học nên năm nay tôi dự định không về nước.,"。。。ええ。大学院の　試験を　受けますから、ことしは　帰らない　つもりです。
... ee. daigakuin no shiken o uke masu kara, kotoshi ha kaera nai tsumori desu. ","。。。ええ。大学院の　試験を　受けますから、ことしは　帰らない　つもりです。
...Vâng. Tôi phải thi lên cao học nên năm nay tôi dự định không về nước.","... ee. daigakuin no shiken o uke masu kara, kotoshi ha kaera nai tsumori desu. 
...Vâng. Tôi phải thi lên cao học nên năm nay tôi dự định không về nước.",31
あしたから　ニューヨークへ　出張します。,ashita kara nyūyōku he shucchou shi masu. ,Từ ngày mai tôi sẽ đi công tác ở New York.,"あしたから　ニューヨークへ　出張します。
ashita kara nyūyōku he shucchou shi masu. ","あしたから　ニューヨークへ　出張します。
Từ ngày mai tôi sẽ đi công tác ở New York.","ashita kara nyūyōku he shucchou shi masu. 
Từ ngày mai tôi sẽ đi công tác ở New York.",31
。。。そうですか。　いつ　帰りますか。,... sou desu ka. i tsu kaeri masu ka. ,"...Thế à? Bao giờ anh về,","。。。そうですか。　いつ　帰りますか。
... sou desu ka. i tsu kaeri masu ka. ","。。。そうですか。　いつ　帰りますか。
...Thế à? Bao giờ anh về,","... sou desu ka. i tsu kaeri masu ka. 
...Thế à? Bao giờ anh về,",31
来週の　金曜日に　帰る　予定です。,raishuu no kinyoubi ni kaeru yotei desu. ,Theo dự định thứ sau tuần sau mới về.,"来週の　金曜日に　帰る　予定です。
raishuu no kinyoubi ni kaeru yotei desu. ","来週の　金曜日に　帰る　予定です。
Theo dự định thứ sau tuần sau mới về.","raishuu no kinyoubi ni kaeru yotei desu. 
Theo dự định thứ sau tuần sau mới về.",31
